INFO 2024-07-30 15:46:18,596 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-30 15:46:18,598 autoreload Waiting for apps ready_event.
DEBUG 2024-07-30 15:46:19,684 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-30 15:46:19,733 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2024-07-30 15:46:19,737 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-07-30 15:46:19,744 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\locale with glob **/*.mo.
DEBUG 2024-07-30 15:46:19,749 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-07-30 15:46:19,750 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-07-30 15:46:19,752 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\coreapi\locale with glob **/*.mo.
DEBUG 2024-07-30 15:46:19,765 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\tasks\locale with glob **/*.mo.
DEBUG 2024-07-30 15:46:19,774 autoreload Watching dir C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2024-07-30 15:46:20,275 utils (0.000) SELECT CAST(SERVERPROPERTY('ProductVersion') AS varchar); args=None; alias=default
DEBUG 2024-07-30 15:46:20,283 utils (0.016) SELECT SYSDATETIME(); args=None; alias=default
DEBUG 2024-07-30 15:46:20,603 utils (0.312) SELECT
                        TABLE_NAME,
                        TABLE_TYPE,
                        CAST(ep.value AS VARCHAR) AS COMMENT
                    FROM INFORMATION_SCHEMA.TABLES i
                    LEFT JOIN sys.tables t ON t.name = i.TABLE_NAME
                    LEFT JOIN sys.extended_properties ep ON t.object_id = ep.major_id
                    AND ((ep.name = 'MS_DESCRIPTION' AND ep.minor_id = 0) OR ep.value IS NULL)
                    WHERE i.TABLE_SCHEMA = SCHEMA_NAME(); args=None; alias=default
DEBUG 2024-07-30 15:46:20,636 utils (0.015) SELECT [django_migrations].[id], [django_migrations].[app], [django_migrations].[name], [django_migrations].[applied] FROM [django_migrations]; args=(); alias=default
DEBUG 2024-07-30 15:46:20,951 autoreload File C:\Python311\Lib\ctypes\_endian.py first seen with mtime 1670382570.0
DEBUG 2024-07-30 15:46:20,952 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1720633553.8832042
DEBUG 2024-07-30 15:46:20,955 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\_core\_asarray.py first seen with mtime 1721424257.5760794
DEBUG 2024-07-30 15:46:20,956 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1719350862.739313
DEBUG 2024-07-30 15:46:20,958 autoreload File C:\Python311\DLLs\_uuid.pyd first seen with mtime 1670382602.0
DEBUG 2024-07-30 15:46:20,959 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1720633553.0853202
DEBUG 2024-07-30 15:46:20,960 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1720633553.7427545
DEBUG 2024-07-30 15:46:20,961 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\util\_exceptions.py first seen with mtime 1721424278.654802
DEBUG 2024-07-30 15:46:20,962 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\six.py first seen with mtime 1721424255.876042
DEBUG 2024-07-30 15:46:20,963 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1719351666.0537226
DEBUG 2024-07-30 15:46:20,964 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1720633553.8499932
DEBUG 2024-07-30 15:46:20,966 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1720633552.9564948
DEBUG 2024-07-30 15:46:20,967 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django_filters\__init__.py first seen with mtime 1720652863.8149676
DEBUG 2024-07-30 15:46:20,969 autoreload File C:\Python311\Lib\enum.py first seen with mtime 1670382570.0
DEBUG 2024-07-30 15:46:20,969 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pkg_resources\extern\__init__.py first seen with mtime 1719350696.150182
DEBUG 2024-07-30 15:46:20,971 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\urllib3\util\request.py first seen with mtime 1720200984.1816077
DEBUG 2024-07-30 15:46:20,972 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\rest_framework\checks.py first seen with mtime 1719351666.021803
DEBUG 2024-07-30 15:46:20,974 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1720633553.0231285
DEBUG 2024-07-30 15:46:20,978 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\_core\numerictypes.py first seen with mtime 1721424257.559284
DEBUG 2024-07-30 15:46:20,980 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\template\context.py first seen with mtime 1720633554.0921786
DEBUG 2024-07-30 15:46:20,981 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\tools\times.py first seen with mtime 1721424275.7424493
DEBUG 2024-07-30 15:46:20,983 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1719350862.7018304
DEBUG 2024-07-30 15:46:20,987 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\indexes\category.py first seen with mtime 1721424275.6239529
DEBUG 2024-07-30 15:46:20,995 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\_libs\tslibs\dtypes.cp311-win_amd64.pyd first seen with mtime 1721424278.9059923
DEBUG 2024-07-30 15:46:20,997 autoreload File C:\Python311\Lib\email\encoders.py first seen with mtime 1670382570.0
DEBUG 2024-07-30 15:46:20,998 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\arrays\sparse\array.py first seen with mtime 1721424275.521361
DEBUG 2024-07-30 15:46:20,999 autoreload File C:\Python311\Lib\_compat_pickle.py first seen with mtime 1670382570.0
DEBUG 2024-07-30 15:46:21,000 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\io\parsers\base_parser.py first seen with mtime 1721424275.8899596
DEBUG 2024-07-30 15:46:21,002 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1720633552.4176319
DEBUG 2024-07-30 15:46:21,010 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\_expired_attrs_2_0.py first seen with mtime 1721424255.9733121
DEBUG 2024-07-30 15:46:21,015 autoreload File C:\Python311\Lib\mimetypes.py first seen with mtime 1670382570.0
DEBUG 2024-07-30 15:46:21,017 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\matrixlib\__init__.py first seen with mtime 1721424256.819585
DEBUG 2024-07-30 15:46:21,018 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\corsheaders\signals.py first seen with mtime 1719351744.713781
DEBUG 2024-07-30 15:46:21,019 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\arrays\timedeltas.py first seen with mtime 1721424275.502883
DEBUG 2024-07-30 15:46:21,020 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\io\parsers\__init__.py first seen with mtime 1721424275.8963735
DEBUG 2024-07-30 15:46:21,022 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\array_algos\datetimelike_accumulations.py first seen with mtime 1721424275.526398
DEBUG 2024-07-30 15:46:21,025 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1720633554.1092105
DEBUG 2024-07-30 15:46:21,026 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\matrixlib\defmatrix.py first seen with mtime 1721424256.8170528
DEBUG 2024-07-30 15:46:21,027 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1720633553.587836
DEBUG 2024-07-30 15:46:21,028 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\_core\_add_newdocs_scalars.py first seen with mtime 1721424257.5746815
DEBUG 2024-07-30 15:46:21,029 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\requests\hooks.py first seen with mtime 1720200986.4885578
DEBUG 2024-07-30 15:46:21,031 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1720633553.8800702
DEBUG 2024-07-30 15:46:21,032 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_manylinux.py first seen with mtime 1719350696.1018236
DEBUG 2024-07-30 15:46:21,033 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\lib\introspect.py first seen with mtime 1721424256.617841
DEBUG 2024-07-30 15:46:21,034 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1719351666.0296125
DEBUG 2024-07-30 15:46:21,036 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\reshape\concat.py first seen with mtime 1721424275.7050588
DEBUG 2024-07-30 15:46:21,036 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\compat\__init__.py first seen with mtime 1721424275.4362407
DEBUG 2024-07-30 15:46:21,039 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1720633553.2176046
DEBUG 2024-07-30 15:46:21,043 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pytz\tzfile.py first seen with mtime 1720573821.078573
DEBUG 2024-07-30 15:46:21,044 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\linalg\linalg.py first seen with mtime 1721424256.7607255
DEBUG 2024-07-30 15:46:21,046 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1721424256.769792
DEBUG 2024-07-30 15:46:21,047 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1720633553.858474
DEBUG 2024-07-30 15:46:21,048 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\numpy\lib\_histograms_impl.py first seen with mtime 1721424256.6496284
DEBUG 2024-07-30 15:46:21,048 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1720633545.0706542
DEBUG 2024-07-30 15:46:21,049 autoreload File C:\Python311\Lib\logging\__init__.py first seen with mtime 1670382570.0
DEBUG 2024-07-30 15:46:21,050 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1720633553.23484
DEBUG 2024-07-30 15:46:21,052 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1720633545.74222
DEBUG 2024-07-30 15:46:21,053 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\dateutil\tz\tz.py first seen with mtime 1721424271.0718293
DEBUG 2024-07-30 15:46:21,060 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\io\parsers\python_parser.py first seen with mtime 1721424275.8929596
DEBUG 2024-07-30 15:46:21,061 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\_libs\tslibs\parsing.cp311-win_amd64.pyd first seen with mtime 1721424278.944761
DEBUG 2024-07-30 15:46:21,062 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\compat\numpy\function.py first seen with mtime 1721424275.4382513
DEBUG 2024-07-30 15:46:21,063 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\tasks\views.py first seen with mtime 1722379462.7072108
DEBUG 2024-07-30 15:46:21,064 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\_libs\pandas_datetime.cp311-win_amd64.pyd first seen with mtime 1721424278.8267171
DEBUG 2024-07-30 15:46:21,065 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1719350862.6605527
DEBUG 2024-07-30 15:46:21,067 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1720633543.3995898
DEBUG 2024-07-30 15:46:21,068 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1720633554.178766
DEBUG 2024-07-30 15:46:21,069 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\_libs\tslibs\nattype.cp311-win_amd64.pyd first seen with mtime 1721424278.9198303
DEBUG 2024-07-30 15:46:21,074 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1720633554.0997102
DEBUG 2024-07-30 15:46:21,077 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\dateutil\tz\win.py first seen with mtime 1721424271.0752423
DEBUG 2024-07-30 15:46:21,079 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1720633545.7372198
DEBUG 2024-07-30 15:46:21,080 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\core\api.py first seen with mtime 1721424275.4447021
DEBUG 2024-07-30 15:46:21,082 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\util\_print_versions.py first seen with mtime 1721424278.656113
DEBUG 2024-07-30 15:46:21,082 autoreload File C:\Users\rivan\OneDrive - YAM Worldwide\Desktop\django\venv\Lib\site-packages\pandas\arrays\__init__.py first seen with mtime 1721424275.4282496
